'time', 'CO2'
2455.76, 10.325653
2456.26, 10.297292
2456.76, 10.426104
2457.26, 10.312532
2457.76, 10.386464
2458.26, 10.328726
2458.76, 10.356473
2459.26, 10.496686
2459.76, 10.263089
2460.26, 10.321257
2460.76, 10.299379
2461.26, 10.387447
2461.76, 10.309337
2462.26, 10.296338
2462.76, 10.204181
2463.26, 10.298643
2463.76, 10.369655
2464.26, 10.053612
2464.76, 10.304265
2465.26, 10.330784
2465.76, 10.277564
2466.26, 10.333027
2466.76, 10.415903
2467.26, 10.319078
2467.76, 10.349253
2468.26, 10.358718
2468.76, 10.332168
2469.26, 10.265239
2469.76, 10.298889
2470.26, 10.393871
2470.76, 10.235373
2471.26, 10.470876
2471.76, 10.320859
2472.26, 10.262537
2472.76, 10.443896
2473.26, 10.355151
2473.76, 10.317510
2474.26, 10.352324
2474.76, 10.403151
2475.26, 10.363386
2475.76, 10.321596
2476.26, 10.318769
2476.76, 10.362281
2477.26, 10.252211
2477.76, 10.317079
2478.26, 10.355059
2478.75, 10.270926
2479.26, 10.391011
2479.76, 10.376355
2480.26, 10.391320
2480.76, 10.252336
2481.26, 10.250676
2481.76, 10.435046
2482.26, 10.389998
2482.76, 10.337698
2483.26, 10.283494
2483.76, 10.382223
2484.26, 10.374757
2484.76, 10.373373
2485.26, 10.361450
2485.76, 10.324545
2486.26, 10.485255
2486.76, 10.321136
2487.26, 10.301960
2487.76, 10.304971
2488.26, 10.384528
2488.76, 10.390675
2489.26, 10.339019
2489.76, 10.341909
2490.26, 10.267636
2490.76, 10.387233
2491.26, 10.254177
2491.76, 10.383575
2492.26, 10.354845
2492.76, 10.350358
2493.26, 10.315573
2493.76, 10.305435
2494.26, 10.320643
2494.76, 10.208208
2495.26, 10.243545
2495.76, 10.341232
2496.26, 10.230579
2496.76, 10.302821
2497.26, 10.375155
2497.76, 10.326728
2498.26, 10.350236
2498.76, 10.319600
2499.26, 10.290930
2499.76, 10.425368
2500.26, 10.258911
2500.76, 10.287979
2501.26, 10.324486
2501.76, 10.341048
2502.26, 10.359484
2502.76, 10.358501
2503.26, 10.365385
2503.76, 10.199756
2504.26, 10.379058
2504.76, 10.233190
2505.26, 10.202432
2505.76, 10.350667
2506.26, 10.152805
2506.76, 10.379643
2507.26, 10.309580
2507.76, 10.297197
2508.26, 10.307309
2508.76, 10.437413
2509.26, 10.360592
2509.76, 10.333303
2510.26, 10.329400
2510.76, 10.364218
2511.26, 10.299596
2511.76, 10.339910
2512.26, 10.295661
2512.76, 10.333395
2513.26, 10.391349
2513.76, 10.340371
2514.26, 10.336376
2514.76, 10.335854
2515.26, 10.334716
2515.76, 10.395436
2516.26, 10.461780
2516.76, 10.313423
2517.26, 10.299350
2517.76, 10.421186
2518.26, 10.387631
2518.76, 10.254394
2519.26, 10.393654
2519.76, 10.330939
2520.26, 10.386402
2520.76, 10.361851
2521.26, 10.376322
2521.76, 10.312131
2522.26, 10.393193
2522.76, 10.383361
2523.26, 10.346548
2523.76, 10.393072
2524.26, 10.229902
2524.76, 10.468785
2525.26, 10.309212
2525.76, 10.290132
2526.26, 9.274985
2526.76, 8.148906
2527.26, 6.812401
2527.76, 5.687308
2528.26, 4.790280
2528.76, 3.917131
2529.26, 3.276103
2529.76, 2.630960
2530.26, 2.063587
2530.76, 1.674320
2531.26, 1.441459
2531.76, 1.078678
2532.26, 0.701515
2532.76, 0.695338
2533.26, 0.478149
2533.76, 0.349550
2534.26, 0.288525
2534.76, 0.146313
2535.26, 0.075268
2535.76, 0.036121
2536.26, 0.092905
2536.76, -0.166810
2537.26, -0.144472
2537.76, -0.093461
2538.26, -0.063870
2538.76, -0.188199
2539.26, -0.202302
2539.76, -0.085443
2540.26, -0.060889
2540.76, -0.122285
2541.26, -0.100805
2541.76, -0.156393
2542.26, -0.187830
2542.76, -0.079111
2543.26, -0.219449
2543.76, -0.134699
2544.26, -0.103017
2544.76, -0.062795
2545.26, -0.182820
2545.76, -0.179257
2546.26, -0.144134
2546.76, -0.180516
2547.26, -0.061227
2547.76, 0.021738
2548.26, -0.148036
2548.76, -0.106061
2549.26, -0.008529
2549.76, -0.096229
2550.26, -0.081294
2550.76, -0.138726
2551.26, -0.106920
2551.76, -0.188659
2552.26, -0.156794
2552.76, -0.215485
2553.26, -0.055451
2553.76, -0.056618
2554.26, -0.234690
2554.76, -0.156978
2555.26, -0.113804
2555.76, -0.120287
2556.26, -0.065807
2556.76, -0.133347
2557.26, -0.109563
2557.76, -0.117614
2558.26, -0.014121
2558.76, -0.185155
2559.26, -0.053206
2559.76, -0.198492
2560.26, -0.070015
2560.76, -0.131964
2561.26, -0.116200
2561.76, -0.116384
2562.26, -0.105568
2562.76, 0.003026
2563.26, -0.103908
2563.76, -0.130274
2564.26, -0.114727
2564.76, -0.252452
2565.26, -0.085410
2565.76, -0.131658
2566.26, -0.389010
2566.76, -0.144778
2567.26, -0.032067
2567.76, -0.139617
2568.26, -0.149972
2568.76, -0.157839
2569.26, -0.154364
2569.76, -0.073059
2570.26, -0.112636
2570.76, -0.184573
2571.26, -0.143673
2571.76, -0.081478
2572.26, -0.154058
2572.76, -0.064824
2573.26, -0.089345
2573.76, -0.101972
2574.26, -0.066605
2574.76, 0.045740
2575.26, -0.119580
2575.76, -0.105263
2576.26, -0.151938
2576.76, -0.159466
2577.26, -0.157376
2577.76, -0.197140
2578.26, -0.185710
2578.76, -0.039040
2579.26, -0.177751
2579.76, -0.235857
2580.26, -0.164568
2580.76, -0.130704
2581.26, -0.112729
2581.76, -0.107567
2582.26, -0.085535
2582.76, -0.163645
2583.26, -0.060123
2583.76, -0.082892
2584.26, -0.170131
2584.76, -0.185953
2585.26, -0.056217
2585.76, -0.040118
2586.26, -0.335112
2586.76, -0.188383
2587.26, -0.059751
2587.76, -0.068972
2588.26, -0.084243
2588.76, -0.179349
2589.26, -0.138265
2589.76, -0.161311
2590.26, -0.088237
2590.76, -0.100621
2591.26, -0.120934
2591.76, -0.193146
2592.26, -0.172741
2592.76, -0.190562
2593.26, -0.085748
2593.76, -0.124435
2594.26, -0.019315
2594.76, -0.079111
2595.26, -0.030713
2595.76, -0.123699
2596.26, -0.089006
2596.76, -0.104372
2597.26, -0.110115
2597.76, -0.112022
2598.26, -0.131964
2598.76, -0.047768
2599.26, -0.071612
2599.76, -0.123544
2600.26, -0.152152
2600.76, -0.149295
2601.26, -0.053331
2601.76, -0.137371
2602.26, -0.145117
2602.76, -0.244707
2603.26, -0.069370
2603.76, -0.174523
2604.26, -0.096074
2604.76, -0.159312
2605.26, -0.168500
2605.76, -0.049981
2606.26, -0.159713
2606.76, -0.109040
2607.26, -0.137526
2607.76, -0.177505
2608.26, -0.071553
2608.76, -0.133193
2609.26, -0.111716
2609.76, -0.165242
2610.26, -0.122223
2610.76, -0.133870
2611.26, -0.136911
2611.76, -0.135744
2612.26, 0.103201
2612.76, -0.078312
2613.26, -0.104185
2613.76, -0.086916
2614.26, -0.223197
2614.76, -0.070324
2615.26, -0.106430
2615.76, -0.119027
2616.26, -0.096656
2616.76, -0.038366
2617.26, -0.112758
2617.76, -0.082155
2618.26, -0.107442
2618.76, -0.130336
2619.26, -0.123699
2619.76, -0.147944
2620.26, -0.094260
2620.76, -0.051365
2621.26, -0.038120
2621.76, -0.207834
2622.26, -0.099207
2622.76, -0.207342
2623.26, -0.033448
2623.76, -0.287483
2624.26, -0.250147
2624.76, -0.100190
2625.26, -0.159683
2625.76, -0.045494
2626.26, -0.054991
2626.76, -0.108027
2627.26, -0.103264
2627.76, -0.100591
2628.26, -0.161801
2628.76, -0.144531
2629.26, -0.278633
2629.76, -0.181992
2630.26, -0.138357
2630.76, -0.120194
2631.26, -0.204915
2631.76, -0.130888
2632.26, -0.072720
2632.76, 0.012520
2633.26, -0.210475
2633.76, -0.084335
2634.26, -0.056096
2634.76, -0.056773
2635.26, -0.083138
2635.76, -0.108517
2636.26, -0.166258
2636.76, -0.292122
2637.26, -0.043436
2637.76, 0.001918
2638.26, -0.076530
2638.76, -0.068972
2639.26, 0.020265
2639.76, -0.142289
2640.26, 0.049271
2640.76, 0.028747
2641.26, 0.067894
2641.76, 0.218680
2642.26, 0.087468
2642.76, 0.158329
2643.26, 0.131503
2643.76, 0.272085
2644.26, 0.160387
2644.76, 0.264096
2645.26, 0.212963
2645.76, 0.218187
2646.26, 0.275126
2646.76, 0.362825
2647.26, 0.337015
2647.76, 0.456179
2648.26, 0.528730
2648.76, 0.506543
2649.26, 0.414451
2649.76, 0.390880
2650.26, 0.609453
2650.76, 0.760114
2651.26, 0.659508
2651.76, 0.726898
2652.26, 0.749637
2652.76, 0.759440
2653.26, 0.619010
2653.76, 0.759500
2654.26, 0.624480
2654.76, 0.815057
2655.26, 0.930168
2655.76, 0.787094
2656.26, 0.790260
2656.76, 0.961849
2657.26, 1.074467
2657.76, 1.125600
2658.26, 1.143451
2658.76, 1.207922
2659.26, 1.109959
2659.76, 1.278658
2660.26, 1.284036
2660.76, 1.222485
2661.26, 1.262217
2661.76, 1.386608
2662.26, 1.400649
2662.76, 1.389067
2663.26, 1.472953
2663.76, 1.367465
2664.26, 1.546947
2664.76, 1.424558
2665.26, 1.438169
2665.76, 1.657051
2666.26, 1.740661
2666.76, 1.688883
2667.26, 1.771819
2667.76, 1.695152
2668.26, 1.664056
2668.76, 1.887606
2669.26, 1.816285
2669.76, 1.876696
2670.26, 1.700438
2670.76, 1.982831
2671.26, 2.008430
2671.76, 1.975918
2672.26, 2.050283
2672.76, 2.059162
2673.26, 2.175746
2673.76, 2.059225
2674.26, 2.130267
2674.76, 2.180631
2675.26, 2.215080
2675.76, 2.114504
2676.26, 2.205859
2676.76, 2.340881
2677.26, 2.460476
2677.76, 2.561788
2678.26, 2.512654
2678.76, 2.558376
2679.26, 2.623984
2679.76, 2.639287
2680.26, 2.680617
2680.76, 2.670629
2681.26, 2.709286
2681.76, 2.741767
2682.26, 2.863787
2682.76, 2.800550
2683.26, 2.782696
2683.76, 2.730366
2684.26, 2.809061
2684.76, 2.869688
2685.26, 2.755715
2685.76, 2.789734
2686.26, 2.838283
2686.76, 2.884160
2687.26, 2.774707
2687.76, 2.836041
2688.26, 2.874175
2688.76, 2.900478
2689.26, 3.055104
2689.76, 3.128976
2690.26, 3.240428
2690.76, 3.285167
2691.26, 3.248387
2691.76, 3.431712
2692.26, 3.546115
2692.76, 3.502264
2693.26, 3.545438
2693.76, 3.543719
2694.26, 3.569775
2694.76, 3.545408
2695.26, 3.696161
2695.76, 3.719854
2696.26, 3.716412
2696.76, 3.702493
2697.26, 3.641557
2697.76, 3.731715
2698.26, 3.788687
2698.76, 3.673116
2699.26, 3.737491
2699.76, 3.760507
2700.26, 3.608186
2700.76, 3.817600
2701.26, 3.742748
2701.76, 3.765517
2702.26, 3.774981
2702.76, 3.838465
2703.26, 3.796061
2703.76, 3.854722
2704.26, 3.799687
2704.76, 3.899247
2705.26, 3.829586
2705.76, 3.822058
2706.26, 4.038691
2706.76, 4.230745
2707.26, 4.345733
2707.76, 4.436720
2708.26, 4.227641
2708.76, 4.509084
2709.26, 4.639773
2709.76, 4.545499
2710.26, 4.545466
2710.76, 4.448519
2711.26, 4.637745
2711.76, 4.655721
2712.26, 4.552103
2712.76, 4.721940
2713.26, 4.712354
2713.76, 4.656273
2714.26, 4.706607
2714.76, 4.667368
2715.26, 4.668473
2715.76, 4.912274
2716.26, 4.835666
2716.76, 4.799254
2717.26, 4.794336
2717.76, 4.707715
2718.26, 4.906741
2718.76, 4.838309
2719.26, 4.750149
2719.76, 4.916699
2720.26, 4.806536
2720.76, 4.909815
2721.26, 4.853182
2721.76, 4.808995
2722.26, 4.836774
2722.76, 4.977632
2723.26, 4.946628
2723.76, 4.960333
2724.26, 4.958091
2724.76, 4.818920
2725.26, 5.019668
2725.76, 4.930463
